PARTICIPANT BLOCK TRIAL EXTRACT TYPE RESPONSE
c23 main 25 ACL phase-click-late10 aligned
c23 main 26 KPS phase-click-early15 misaligned
c23 main 27 HSG phase-click-early15 misaligned
c23 main 28 HTH aligned aligned
c23 main 29 HTH aligned aligned
c23 main 30 ACL aligned aligned
c23 main 31 KPS phase-click-late15 misaligned
c23 main 32 HTH aligned aligned
c23 main 33 HTH phase-click-late10 misaligned
c23 main 34 HSG phase-click-late10 misaligned
c23 main 35 ACL aligned aligned
c23 main 36 SMA aligned aligned
c23 main 37 KPS aligned aligned
c23 main 38 HTH phase-click-early10 misaligned
c23 main 39 HSG aligned aligned
c23 main 40 HTH phase-click-early15 misaligned
c24 train 1 NYN aligned aligned
c24 train 2 NYN phase-click-late15 aligned
c24 train 3 OCJ phase-click-early15 misaligned
c24 train 4 OCJ aligned aligned
c24 main 1 SMA aligned aligned
c24 main 2 HSG phase-click-early15 misaligned
c24 main 3 HTH phase-click-early10 misaligned
c24 main 4 SMA phase-click-early15 misaligned
c24 main 5 HTH aligned aligned
c24 main 6 KPS aligned aligned
c24 main 7 ACL phase-click-late15 misaligned
c24 main 8 SMA phase-click-early10 misaligned
c24 main 9 ACL aligned aligned
c24 main 10 KPS aligned aligned
c24 main 11 HTH phase-click-late15 misaligned
c24 main 12 HTH aligned aligned
c24 main 13 KPS phase-click-early10 misaligned
c24 main 14 HTH aligned aligned
c24 main 15 HSG aligned misaligned
c24 main 16 HTH aligned aligned
c24 main 17 KPS phase-click-late15 misaligned
c24 main 18 ACL aligned aligned
c24 main 19 HSG aligned misaligned
c24 main 20 SMA phase-click-late10 misaligned
c24 main 21 KPS phase-click-early15 misaligned
c24 main 22 HSG aligned aligned
c24 main 23 HTH phase-click-early15 misaligned
c24 main 24 KPS phase-click-late10 misaligned
c24 main 25 HSG phase-click-late15 misaligned
c24 main 26 HTH phase-click-late10 aligned
c24 main 27 SMA aligned misaligned
c24 main 28 HSG phase-click-early10 misaligned
c24 main 29 ACL phase-click-late10 aligned
c24 main 30 ACL phase-click-early15 misaligned
c24 main 31 SMA phase-click-late15 misaligned
c24 main 32 ACL phase-click-early10 aligned
c24 main 33 KPS aligned aligned
c24 main 34 SMA aligned misaligned
c24 main 35 ACL aligned aligned
c24 main 36 HSG aligned aligned
c24 main 37 SMA aligned misaligned
c24 main 38 KPS aligned misaligned
c24 main 39 HSG phase-click-late10 aligned
c24 main 40 ACL aligned aligned
