PARTICIPANT BLOCK TRIAL EXTRACT TYPE RESPONSE
c4 main 23 HTH phase-click-late10 misaligned
c4 main 24 ACL phase-click-late15 misaligned
c4 main 25 ACL phase-click-late10 misaligned
c4 main 26 HSG aligned aligned
c4 main 27 ACL phase-click-early15 misaligned
c4 main 28 KPS phase-click-late10 misaligned
c4 main 29 KPS phase-click-early15 misaligned
c4 main 30 KPS phase-click-early10 misaligned
c4 main 31 HTH phase-click-late15 misaligned
c4 main 32 KPS aligned aligned
c4 main 33 HTH aligned misaligned
c4 main 34 SMA aligned misaligned
c4 main 35 SMA phase-click-early10 aligned
c4 main 36 KPS phase-click-late15 misaligned
c4 main 37 HSG phase-click-late10 misaligned
c4 main 38 ACL aligned aligned
c4 main 39 SMA aligned misaligned
c4 main 40 HSG aligned aligned
c5 train 1 NYN aligned aligned
c5 train 2 OCJ phase-click-early15 misaligned
c5 train 3 NYN phase-click-late15 misaligned
c5 train 4 OCJ aligned aligned
c5 main 1 HSG phase-click-late15 misaligned
c5 main 2 HTH aligned aligned
c5 main 3 KPS aligned aligned
c5 main 4 HSG phase-click-early15 misaligned
c5 main 5 HSG aligned aligned
c5 main 6 ACL aligned aligned
c5 main 7 KPS aligned aligned
c5 main 8 HSG aligned aligned
c5 main 9 HTH aligned aligned
c5 main 10 KPS aligned aligned
c5 main 11 HSG aligned aligned
c5 main 12 ACL aligned aligned
c5 main 13 HTH phase-click-early15 misaligned
c5 main 14 HTH phase-click-early10 aligned
c5 main 15 SMA phase-click-early10 aligned
c5 main 16 KPS aligned aligned
c5 main 17 SMA aligned misaligned
c5 main 18 HTH phase-click-late10 misaligned
c5 main 19 HTH aligned aligned
c5 main 20 SMA phase-click-late15 misaligned
c5 main 21 SMA aligned aligned
c5 main 22 HTH aligned aligned
c5 main 23 SMA phase-click-early15 aligned
c5 main 24 ACL aligned aligned
c5 main 25 ACL phase-click-early10 misaligned
c5 main 26 ACL aligned aligned
c5 main 27 HSG aligned aligned
c5 main 28 SMA phase-click-late10 misaligned
c5 main 29 KPS phase-click-early15 misaligned
c5 main 30 ACL phase-click-late15 misaligned
c5 main 31 SMA aligned aligned
c5 main 32 KPS phase-click-late10 misaligned
c5 main 33 ACL phase-click-late10 aligned
c5 main 34 ACL phase-click-early15 misaligned
c5 main 35 SMA aligned aligned
c5 main 36 KPS phase-click-late15 misaligned
c5 main 37 HSG phase-click-late10 misaligned
c5 main 38 HTH phase-click-late15 misaligned
c5 main 39 KPS phase-click-early10 misaligned
c5 main 40 HSG phase-click-early10 aligned
c6 train 1 NYN aligned aligned
c6 train 2 NYN phase-click-late15 misaligned
c6 train 3 OCJ aligned aligned
c6 train 4 OCJ phase-click-early15 misaligned
c6 main 1 HSG phase-click-late10 aligned
c6 main 2 HTH aligned aligned
c6 main 3 ACL aligned aligned
c6 main 4 HTH phase-click-early15 misaligned
c6 main 5 KPS phase-click-early15 misaligned
c6 main 6 SMA phase-click-early15 aligned
c6 main 7 KPS aligned aligned
c6 main 8 ACL phase-click-late10 aligned
c6 main 9 KPS aligned aligned
c6 main 10 HSG aligned aligned
c6 main 11 HTH aligned aligned
c6 main 12 SMA aligned aligned
c6 main 13 HTH phase-click-early10 aligned
c6 main 14 HSG aligned aligned
c6 main 15 KPS phase-click-late10 misaligned
c6 main 16 KPS phase-click-early10 misaligned
c6 main 17 ACL aligned aligned
c6 main 18 SMA phase-click-late15 misaligned
c6 main 19 HTH phase-click-late15 misaligned
c6 main 20 HTH aligned aligned
c6 main 21 HSG aligned aligned
c6 main 22 SMA aligned misaligned
c6 main 23 ACL aligned aligned
